Time,Value
87224,267
87275,267
87325,267
87376,268
87427,265
87477,267
87528,267
87578,267
87629,267
87680,267
87731,268
87781,266
87831,266
87882,268
87932,270
87984,266
88034,264
88084,266
88135,267
88185,266
88237,265
88287,265
88338,266
88388,266
88438,264
88489,265
88540,267
88591,265
88641,266
88691,268
88742,266
88793,269
88844,268
88894,267
88944,267
88995,267
89046,266
89097,266
89147,267
89198,266
89248,269
89298,269
89350,269
89400,269
89451,267
89501,268
89551,266
89603,268
89653,266
89704,268
89754,265
89805,266
89856,264
89906,264
89957,267
90007,265
90058,264
90108,264
90159,264
90210,266
90260,266
90311,265
90361,267
90413,264
90463,266
90513,265
90564,264
90614,266
90665,264
90716,263
90766,265
90817,266
90867,265
90918,264
90969,267
91020,264
91070,267
91120,266
91171,264
91222,263
91273,265
91323,262
91373,266
91424,266
91474,263
91526,264
91576,266
91627,263
91677,265
91727,264
91779,264
91829,267
91880,267
91930,267
91980,266
92032,265
92082,266
92133,267
92183,265
92234,265
92284,267
92335,267
92386,266
92436,266
92487,266
92537,265
92588,267
92639,266
92689,266
92740,267
92790,267
92841,265
92892,266
92942,266
92993,266
93043,265
93094,266
93145,265
93195,267
93246,266
93296,267
93347,267
93398,266
93449,268
93499,265
93549,267
93600,269
93650,266
93702,268
93752,268
93802,268
93853,268
93903,268
93955,265
94005,266
94056,267
94106,266
94156,268
94208,265
94258,266
94309,266
94359,265
94409,264
94460,265
94511,265
94562,266
94612,265
94663,264
94713,265
94764,265
94815,264
94865,264
94916,265
94966,264
95016,265
95068,266
95118,265
95169,265
95219,265
95270,265
95321,264
95371,266
95422,264
95472,266
95523,266
95574,265
95624,267
95675,265
95725,266
95776,266
95826,264
95878,265
95928,266
95978,265
96029,264
96079,267
96131,266
96181,268
96231,265
96282,265
96332,266
96384,264
96434,266
96485,267
96535,266
96585,267
96636,266
96687,267
96738,267
96788,265
96838,266
96889,266
96940,265
96991,265
97041,265
97092,264
97142,266
97192,265
97244,266
97294,267
97345,265
97395,267
97445,265
97497,267
97547,267
97598,269
97648,266
97699,264
97750,265
97800,266
97851,268
97901,266
97952,268
98002,267
98053,266
98104,265
98154,266
98205,267
98255,266
98307,267
98357,266
98407,266
98458,264
98508,267
98560,266
98610,267
98660,267
98711,266
98761,265
98812,268
98863,269
98914,268
98964,269
99014,267
99065,267
99116,266
99167,267
99217,269
99267,268
99318,265
99368,268
99420,268
99470,267
99521,268
99571,268
99621,265
99673,266
99723,268
99774,266
99824,266
99874,268
99926,269
99976,265
100027,269
100077,267
100128,268
100178,267
100230,266
100280,268
100331,269
100381,266
100431,267
100483,268
100533,268
100584,266
100634,267
100685,267
100736,265
100787,267
100837,267
100888,268
100938,269
100989,269
101040,268
101090,267
101141,268
101191,267
101242,267
101293,267
101344,268
101394,266
101445,268
101495,268
101547,267
101597,265
101648,266
101698,268
101749,267
101799,267
101850,266
101901,264
101951,266
102002,266
102052,266
102104,265
102154,265
102205,267
102255,265
102306,268
102356,265
102408,267
102458,266
102509,264
102559,266
102609,266
102661,266
102711,267
102762,267
102812,267
102863,267
102914,266
102965,264
103015,265
103066,265
103116,266
103168,267
103218,266
103268,265
103319,265
103369,265
103420,266
103471,267
103522,265
103572,265
103623,265
103673,266
103725,267
103775,266
103826,265
103876,265
103927,265
103977,266
104028,266
104079,265
104129,265
104180,266
104230,266
104282,265
104332,264
104383,267
104433,268
104484,267
104535,267
104586,267
104636,264
104687,266
104737,267
104787,266
104839,268
104889,267
104940,269
104990,266
105041,266
105092,267
105143,266
105193,265
105244,267
105294,267
105346,266
105396,266
105446,267
105497,267
105547,265
105598,265
105649,263
105700,265
105750,266
105801,268
105851,268
105903,265
105953,267
106004,267
106054,266
106105,267
106156,266
106206,266
106257,267
106307,265
106358,264
106408,267
106460,266
106510,267
106561,267
106611,268
106662,268
106713,267
106764,267
106814,267
106864,267
106915,266
106966,267
107017,263
107067,266
107118,267
107168,267
107219,265
107270,267
107321,267
107371,266
107422,268
107472,266
107524,266
107574,267
107624,267
107675,263
107725,265
107777,267
107827,266
107878,267
107928,266
107979,266
108029,265
108081,267
108131,265
108182,264
108232,266
108283,265
108334,267
108384,266
108435,266
108485,268
108536,267
108587,265
108638,270
108688,266
108739,268
108789,268
108840,267
108891,266
108942,266
108992,265
109042,263
109093,265
109144,266
109195,266
109245,264
109296,265
109346,264
109398,264
109448,267
109499,266
109549,265
109600,267
109650,265
109702,265
109752,266
