Time,Value
52866,268
52916,268
52967,269
53017,270
53068,269
53118,270
53169,268
53220,269
53270,267
53321,267
53371,269
53422,269
53473,266
53523,268
53574,270
53624,267
53676,269
53726,269
53776,268
53827,268
53877,268
53928,269
53979,269
54029,269
54080,270
54130,268
54181,266
54232,268
54283,269
54333,268
54383,271
54434,270
54484,268
54536,269
54586,269
54636,268
54687,267
54737,268
54789,268
54839,270
54890,269
54940,268
54990,270
55042,268
55092,270
55143,271
55193,268
55243,270
55294,269
55345,266
55396,269
55446,267
55497,267
55547,271
55598,269
55649,267
55699,267
55750,267
55800,270
55851,269
55902,270
55952,272
56003,270
56053,269
56104,270
56155,270
56205,269
56256,268
56306,269
56357,269
56408,268
56458,270
56509,269
56559,270
56610,269
56660,267
56712,268
56762,267
56812,268
56863,269
56913,268
56965,269
57015,266
57065,270
57116,268
57166,268
57218,267
57268,269
57318,269
57369,268
57419,269
57470,269
57521,269
57572,269
57622,269
57672,267
57723,269
57774,269
57825,268
57875,268
57925,268
57976,268
58027,269
58078,266
58128,269
58179,269
58229,267
58279,269
58331,270
58381,267
58432,268
58482,269
58532,267
58584,268
58634,271
58685,267
58735,269
58786,270
58836,268
58887,270
58938,268
58988,269
59039,268
59089,268
59140,268
59191,269
59241,267
59292,268
59342,267
59394,265
59444,268
59494,269
59545,268
59595,270
59646,267
59697,267
59747,270
59798,267
59848,268
59899,270
59950,269
60001,266
60051,268
60101,269
60152,269
60203,268
60254,268
60304,269
60354,268
60405,268
60455,271
60507,269
60557,269
60608,269
60658,269
60708,267
60760,268
60810,268
60861,268
60911,269
60961,267
61012,267
61063,268
61114,269
61164,268
61215,269
61265,268
61316,268
61367,269
61417,269
61468,268
61518,270
61569,269
61620,268
61670,268
61721,268
61771,270
61822,268
61873,269
61923,270
61974,269
62024,268
62075,268
62126,266
62176,268
62227,269
62277,269
62328,269
62379,269
62430,268
62480,267
62530,267
62581,268
62631,268
62683,266
62733,269
62783,268
62834,267
62884,267
62936,270
62986,269
63037,269
63087,271
63137,268
63188,267
63239,269
63290,270
63340,268
63390,268
